onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,48,C3,1.0,0,1,1.0,violoncello
1.5,1.6666666666666667,43,G2,1/6,0,1,2.5,violoncello
5/3,11/6,45,A2,1/6,0,1,8/3,violoncello
11/6,2,47,B2,1/6,0,1,17/6,violoncello
2.0,3.0,48,C3,1.0,0,1,3.0,violoncello
3.5,3.6666666666666665,43,G2,1/6,0,1,4.5,violoncello
11/3,23/6,45,A2,1/6,0,1,14/3,violoncello
23/6,4,47,B2,1/6,0,1,29/6,violoncello
4.0,5.0,48,C3,1.0,0,2,1.0,violoncello
8.0,10.0,62,D4,2.0,0,3,1.0,violoncello
10.0,12.0,60,C4,2.0,0,3,3.0,violoncello
12.0,15.0,59,B3,3.0,0,4,1.0,violoncello
16.0,17.0,55,G3,1.0,0,5,1.0,violoncello
17.5,17.666666666666668,50,D3,1/6,0,5,2.5,violoncello
53/3,107/6,52,E3,1/6,0,5,8/3,violoncello
107/6,18,54,F#3,1/6,0,5,17/6,violoncello
18.0,19.0,55,G3,1.0,0,5,3.0,violoncello
19.5,19.666666666666668,50,D3,1/6,0,5,4.5,violoncello
59/3,119/6,52,E3,1/6,0,5,14/3,violoncello
119/6,20,54,F#3,1/6,0,5,29/6,violoncello
20.0,21.0,55,G3,1.0,0,6,1.0,violoncello
24.0,26.0,64,E4,2.0,0,7,1.0,violoncello
26.0,28.0,62,D4,2.0,0,7,3.0,violoncello
28.0,31.0,60,C4,3.0,0,8,1.0,violoncello
32.0,33.0,48,C3,1.0,0,9,1.0,violoncello
35.0,36.0,60,C4,1.0,0,9,4.0,violoncello
36.0,37.0,48,C3,1.0,0,10,1.0,violoncello
39.0,40.0,60,C4,1.0,0,10,4.0,violoncello
40.0,41.0,48,C3,1.0,0,11,1.0,violoncello
43.0,44.0,60,C4,1.0,0,11,4.0,violoncello
44.0,45.0,48,C3,1.0,0,12,1.0,violoncello
47.0,48.0,60,C4,1.0,0,12,4.0,violoncello
48.0,49.0,48,C3,1.0,0,13,1.0,violoncello
51.0,52.0,60,C4,1.0,0,13,4.0,violoncello
52.0,53.0,48,C3,1.0,0,14,1.0,violoncello
55.0,56.0,60,C4,1.0,0,14,4.0,violoncello
56.0,57.0,48,C3,1.0,0,15,1.0,violoncello
59.0,60.0,55,G3,1.0,0,15,4.0,violoncello
60.0,61.0,60,C4,1.0,0,16,1.0,violoncello
63.0,64.0,55,G3,1.0,0,16,4.0,violoncello
64.0,65.0,48,C3,1.0,0,17,1.0,violoncello
65.0,65.5,55,G3,0.5,0,17,2.0,violoncello
65.5,66.0,55,G3,0.5,0,17,2.5,violoncello
66.0,66.5,60,C4,0.5,0,17,3.0,violoncello
66.5,67.0,60,C4,0.5,0,17,3.5,violoncello
67.0,67.5,55,G3,0.5,0,17,4.0,violoncello
67.5,68.0,55,G3,0.5,0,17,4.5,violoncello
68.0,68.5,60,C4,0.5,0,18,1.0,violoncello
68.5,69.0,60,C4,0.5,0,18,1.5,violoncello
69.0,69.5,55,G3,0.5,0,18,2.0,violoncello
69.5,70.0,55,G3,0.5,0,18,2.5,violoncello
70.0,70.5,52,E3,0.5,0,18,3.0,violoncello
70.5,71.0,52,E3,0.5,0,18,3.5,violoncello
71.0,71.5,48,C3,0.5,0,18,4.0,violoncello
71.5,72.0,48,C3,0.5,0,18,4.5,violoncello
72.0,73.0,43,G2,1.0,0,19,1.0,violoncello
73.5,74.0,55,G3,0.5,0,19,2.5,violoncello
74.0,75.0,60,C4,1.0,0,19,3.0,violoncello
75.5,76.0,60,C4,0.5,0,19,4.5,violoncello
76.0,77.0,55,G3,1.0,0,20,1.0,violoncello
77.5,78.0,55,G3,0.5,0,20,2.5,violoncello
78.0,79.0,60,C4,1.0,0,20,3.0,violoncello
79.5,80.0,60,C4,0.5,0,20,4.5,violoncello
80.0,80.5,55,G3,0.5,0,21,1.0,violoncello
80.5,81.0,60,C4,0.5,0,21,1.5,violoncello
81.0,81.5,55,G3,0.5,0,21,2.0,violoncello
81.5,82.0,60,C4,0.5,0,21,2.5,violoncello
82.0,82.5,55,G3,0.5,0,21,3.0,violoncello
82.5,83.0,60,C4,0.5,0,21,3.5,violoncello
83.0,83.5,55,G3,0.5,0,21,4.0,violoncello
83.5,84.0,60,C4,0.5,0,21,4.5,violoncello
84.0,85.0,55,G3,1.0,0,22,1.0,violoncello
85.0,86.0,55,G3,1.0,0,22,2.0,violoncello
86.0,87.0,43,G2,1.0,0,22,3.0,violoncello
87.0,88.0,43,G2,1.0,0,22,4.0,violoncello
88.0,92.0,43,G2,4.0,0,23,1.0,violoncello
136.0,138.0,57,A3,2.0,0,35,1.0,violoncello
138.0,140.0,55,G3,2.0,0,35,3.0,violoncello
140.0,143.0,53,F3,3.0,0,36,1.0,violoncello
143.0,144.0,54,F#3,1.0,0,36,4.0,violoncello
144.0,145.0,55,G3,1.0,0,37,1.0,violoncello
145.5,145.66666666666666,50,D3,1/6,0,37,2.5,violoncello
437/3,875/6,52,E3,1/6,0,37,8/3,violoncello
875/6,146,54,F#3,1/6,0,37,17/6,violoncello
146.0,147.0,55,G3,1.0,0,37,3.0,violoncello
147.5,147.66666666666666,50,D3,1/6,0,37,4.5,violoncello
443/3,887/6,52,E3,1/6,0,37,14/3,violoncello
887/6,148,54,F#3,1/6,0,37,29/6,violoncello
148.0,149.0,55,G3,1.0,0,38,1.0,violoncello
151.5,152.0,59,B3,0.5,0,38,4.5,violoncello
152.0,153.5,60,C4,1.5,0,39,1.0,violoncello
153.5,154.0,59,B3,0.5,0,39,2.5,violoncello
154.0,155.5,62,D4,1.5,0,39,3.0,violoncello
155.5,156.0,60,C4,0.5,0,39,4.5,violoncello
156.0,158.0,64,E4,2.0,0,40,1.0,violoncello
158.0,159.0,62,D4,1.0,0,40,3.0,violoncello
159.5,160.0,59,B3,0.5,0,40,4.5,violoncello
160.0,161.5,62,D4,1.5,0,41,1.0,violoncello
161.5,162.0,60,C4,0.5,0,41,2.5,violoncello
162.0,163.5,64,E4,1.5,0,41,3.0,violoncello
163.5,164.0,62,D4,0.5,0,41,4.5,violoncello
164.0,166.0,65,F4,2.0,0,42,1.0,violoncello
166.0,167.0,64,E4,1.0,0,42,3.0,violoncello
167.5,168.0,61,C#4,0.5,0,42,4.5,violoncello
168.0,169.5,64,E4,1.5,0,43,1.0,violoncello
169.5,170.0,62,D4,0.5,0,43,2.5,violoncello
170.0,171.5,65,F4,1.5,0,43,3.0,violoncello
171.5,172.0,64,E4,0.5,0,43,4.5,violoncello
172.0,174.0,67,G4,2.0,0,44,1.0,violoncello
174.0,175.0,65,F4,1.0,0,44,3.0,violoncello
175.5,176.0,63,D#4,0.5,0,44,4.5,violoncello
176.0,178.0,65,F4,2.0,0,45,1.0,violoncello
178.0,179.0,64,E4,1.0,0,45,3.0,violoncello
179.5,180.0,61,C#4,0.5,0,45,4.5,violoncello
180.0,182.0,64,E4,2.0,0,46,1.0,violoncello
182.0,183.0,62,D4,1.0,0,46,3.0,violoncello
183.5,184.0,55,G3,0.5,0,46,4.5,violoncello
184.0,184.5,60,C4,0.5,0,47,1.0,violoncello
184.5,185.0,60,C4,0.5,0,47,1.5,violoncello
185.0,185.5,59,B3,0.5,0,47,2.0,violoncello
185.5,186.0,59,B3,0.5,0,47,2.5,violoncello
186.0,186.5,60,C4,0.5,0,47,3.0,violoncello
186.5,187.0,60,C4,0.5,0,47,3.5,violoncello
187.0,187.5,59,B3,0.5,0,47,4.0,violoncello
187.5,188.0,59,B3,0.5,0,47,4.5,violoncello
188.0,191.0,60,C4,3.0,0,48,1.0,violoncello
191.0,192.0,61,C#4,1.0,0,48,4.0,violoncello
192.0,193.0,62,D4,1.0,0,49,1.0,violoncello
195.0,196.0,62,D4,1.0,0,49,4.0,violoncello
196.0,197.0,50,D3,1.0,0,50,1.0,violoncello
199.0,200.0,62,D4,1.0,0,50,4.0,violoncello
200.0,201.0,50,D3,1.0,0,51,1.0,violoncello
203.0,204.0,62,D4,1.0,0,51,4.0,violoncello
204.0,205.0,50,D3,1.0,0,52,1.0,violoncello
207.0,208.0,62,D4,1.0,0,52,4.0,violoncello
208.0,209.0,50,D3,1.0,0,53,1.0,violoncello
210.0,211.0,62,D4,1.0,0,53,3.0,violoncello
212.0,213.0,50,D3,1.0,0,54,1.0,violoncello
214.0,215.0,62,D4,1.0,0,54,3.0,violoncello
216.0,217.0,50,D3,1.0,0,55,1.0,violoncello
228.0,231.0,57,A3,3.0,0,58,1.0,violoncello
231.0,232.0,58,A#3,1.0,0,58,4.0,violoncello
232.0,233.0,59,B3,1.0,0,59,1.0,violoncello
236.0,237.0,54,F#3,1.0,0,60,1.0,violoncello
238.0,239.0,55,G3,1.0,0,60,3.0,violoncello
240.0,241.0,50,D3,1.0,0,61,1.0,violoncello
252.0,255.0,57,A3,3.0,0,64,1.0,violoncello
255.0,256.0,58,A#3,1.0,0,64,4.0,violoncello
256.0,257.0,59,B3,1.0,0,65,1.0,violoncello
260.0,261.0,54,F#3,1.0,0,66,1.0,violoncello
262.0,263.0,55,G3,1.0,0,66,3.0,violoncello
264.0,268.0,48,C3,4.0,0,67,1.0,violoncello
268.0,269.0,47,B2,1.0,0,68,1.0,violoncello
270.0,271.0,51,D#3,1.0,0,68,3.0,violoncello
272.0,275.0,52,E3,3.0,0,69,1.0,violoncello
275.0,276.0,48,C3,1.0,0,69,4.0,violoncello
276.0,277.0,50,D3,1.0,0,70,1.0,violoncello
277.0,278.0,50,D3,1.0,0,70,2.0,violoncello
278.0,279.0,50,D3,1.0,0,70,3.0,violoncello
279.0,280.0,50,D3,1.0,0,70,4.0,violoncello
280.0,281.5,55,G3,1.5,0,71,1.0,violoncello
281.5,282.0,54,F#3,0.5,0,71,2.5,violoncello
282.0,283.5,59,B3,1.5,0,71,3.0,violoncello
283.5,284.0,57,A3,0.5,0,71,4.5,violoncello
284.0,286.0,62,D4,2.0,0,72,1.0,violoncello
286.0,288.0,60,C4,2.0,0,72,3.0,violoncello
288.0,289.0,59,B3,1.0,0,73,1.0,violoncello
290.0,291.0,64,E4,1.0,0,73,3.0,violoncello
292.0,293.0,60,C4,1.0,0,74,1.0,violoncello
294.0,295.0,62,D4,1.0,0,74,3.0,violoncello
295.5,296.0,50,D3,0.5,0,74,4.5,violoncello
296.0,297.5,55,G3,1.5,0,75,1.0,violoncello
297.5,298.0,54,F#3,0.5,0,75,2.5,violoncello
298.0,299.5,59,B3,1.5,0,75,3.0,violoncello
299.5,300.0,57,A3,0.5,0,75,4.5,violoncello
300.0,302.0,62,D4,2.0,0,76,1.0,violoncello
302.0,304.0,60,C4,2.0,0,76,3.0,violoncello
304.0,305.0,59,B3,1.0,0,77,1.0,violoncello
305.0,306.0,59,B3,1.0,0,77,2.0,violoncello
306.0,307.0,59,B3,1.0,0,77,3.0,violoncello
308.0,309.0,60,C4,1.0,0,78,1.0,violoncello
309.0,310.0,60,C4,1.0,0,78,2.0,violoncello
310.0,311.0,60,C4,1.0,0,78,3.0,violoncello
312.0,313.0,62,D4,1.0,0,79,1.0,violoncello
313.0,314.0,62,D4,1.0,0,79,2.0,violoncello
314.0,315.0,62,D4,1.0,0,79,3.0,violoncello
320.0,322.0,60,C4,2.0,0,81,1.0,violoncello
322.0,324.0,60,C4,2.0,0,81,3.0,violoncello
324.0,326.0,60,C4,2.0,0,82,1.0,violoncello
326.0,328.0,60,C4,2.0,0,82,3.0,violoncello
328.0,328.5,60,C4,0.5,0,83,1.0,violoncello
328.5,329.0,48,C3,0.5,0,83,1.5,violoncello
329.0,329.5,48,C3,0.5,0,83,2.0,violoncello
329.5,330.0,48,C3,0.5,0,83,2.5,violoncello
330.0,332.0,48,C3,2.0,0,83,3.0,violoncello
332.0,334.0,48,C3,2.0,0,84,1.0,violoncello
334.0,336.0,48,C3,2.0,0,84,3.0,violoncello
336.0,338.0,48,C3,2.0,0,85,1.0,violoncello
338.0,340.0,48,C3,2.0,0,85,3.0,violoncello
340.0,342.0,48,C3,2.0,0,86,1.0,violoncello
342.0,344.0,48,C3,2.0,0,86,3.0,violoncello
344.0,346.0,50,D3,2.0,0,87,1.0,violoncello
346.0,348.0,50,D3,2.0,0,87,3.0,violoncello
348.0,350.0,50,D3,2.0,0,88,1.0,violoncello
350.0,352.0,50,D3,2.0,0,88,3.0,violoncello
352.0,353.5,59,B3,1.5,0,89,1.0,violoncello
353.5,354.0,57,A3,0.5,0,89,2.5,violoncello
354.0,354.75,60,C4,0.75,0,89,3.0,violoncello
354.75,355.0,59,B3,0.25,0,89,3.75,violoncello
355.0,355.75,64,E4,0.75,0,89,4.0,violoncello
355.75,356.0,62,D4,0.25,0,89,4.75,violoncello
356.0,357.5,60,C4,1.5,0,90,1.0,violoncello
357.5,358.0,59,B3,0.5,0,90,2.5,violoncello
358.0,358.75,62,D4,0.75,0,90,3.0,violoncello
358.75,359.0,60,C4,0.25,0,90,3.75,violoncello
359.0,359.75,65,F4,0.75,0,90,4.0,violoncello
359.75,360.0,64,E4,0.25,0,90,4.75,violoncello
360.0,361.5,62,D4,1.5,0,91,1.0,violoncello
361.5,362.0,61,C#4,0.5,0,91,2.5,violoncello
362.0,362.75,64,E4,0.75,0,91,3.0,violoncello
362.75,363.0,62,D4,0.25,0,91,3.75,violoncello
363.0,363.75,67,G4,0.75,0,91,4.0,violoncello
363.75,364.0,65,F4,0.25,0,91,4.75,violoncello
364.0,365.5,64,E4,1.5,0,92,1.0,violoncello
365.5,366.0,64,E4,0.5,0,92,2.5,violoncello
366.0,367.5,62,D4,1.5,0,92,3.0,violoncello
367.5,368.0,62,D4,0.5,0,92,4.5,violoncello
368.0,368.5,60,C4,0.5,0,93,1.0,violoncello
368.5,369.0,60,C4,0.5,0,93,1.5,violoncello
369.0,369.5,60,C4,0.5,0,93,2.0,violoncello
369.5,370.0,60,C4,0.5,0,93,2.5,violoncello
370.0,372.0,62,D4,2.0,0,93,3.0,violoncello
372.0,373.5,55,G3,1.5,0,94,1.0,violoncello
373.5,374.0,54,F#3,0.5,0,94,2.5,violoncello
374.0,374.75,57,A3,0.75,0,94,3.0,violoncello
374.75,375.0,55,G3,0.25,0,94,3.75,violoncello
375.0,375.75,60,C4,0.75,0,94,4.0,violoncello
375.75,376.0,59,B3,0.25,0,94,4.75,violoncello
376.0,377.5,57,A3,1.5,0,95,1.0,violoncello
377.5,378.0,56,G#3,0.5,0,95,2.5,violoncello
378.0,378.75,59,B3,0.75,0,95,3.0,violoncello
378.75,379.0,57,A3,0.25,0,95,3.75,violoncello
379.0,379.75,62,D4,0.75,0,95,4.0,violoncello
379.75,380.0,60,C4,0.25,0,95,4.75,violoncello
380.0,381.5,59,B3,1.5,0,96,1.0,violoncello
381.5,382.0,58,A#3,0.5,0,96,2.5,violoncello
382.0,382.75,60,C4,0.75,0,96,3.0,violoncello
382.75,383.0,59,B3,0.25,0,96,3.75,violoncello
383.0,383.75,64,E4,0.75,0,96,4.0,violoncello
383.75,384.0,62,D4,0.25,0,96,4.75,violoncello
384.0,385.0,60,C4,1.0,0,97,1.0,violoncello
385.0,386.0,62,D4,1.0,0,97,2.0,violoncello
386.0,387.0,60,C4,1.0,0,97,3.0,violoncello
387.0,388.0,56,G#3,1.0,0,97,4.0,violoncello
388.0,388.5,57,A3,0.5,0,98,1.0,violoncello
388.5,389.0,57,A3,0.5,0,98,1.5,violoncello
389.0,389.5,55,G3,0.5,0,98,2.0,violoncello
389.5,390.0,55,G3,0.5,0,98,2.5,violoncello
390.0,390.5,54,F#3,0.5,0,98,3.0,violoncello
390.5,391.0,54,F#3,0.5,0,98,3.5,violoncello
391.0,391.5,55,G3,0.5,0,98,4.0,violoncello
391.5,392.0,55,G3,0.5,0,98,4.5,violoncello
392.0,393.0,54,F#3,1.0,0,99,1.0,violoncello
400.0,400.5,55,G3,0.5,0,101,1.0,violoncello
400.5,401.0,59,B3,0.5,0,101,1.5,violoncello
401.0,401.5,62,D4,0.5,0,101,2.0,violoncello
401.5,402.0,59,B3,0.5,0,101,2.5,violoncello
402.0,402.5,55,G3,0.5,0,101,3.0,violoncello
402.5,403.0,59,B3,0.5,0,101,3.5,violoncello
403.0,403.5,62,D4,0.5,0,101,4.0,violoncello
403.5,404.0,59,B3,0.5,0,101,4.5,violoncello
404.0,404.5,54,F#3,0.5,0,102,1.0,violoncello
404.5,405.0,60,C4,0.5,0,102,1.5,violoncello
405.0,405.5,62,D4,0.5,0,102,2.0,violoncello
405.5,406.0,60,C4,0.5,0,102,2.5,violoncello
406.0,406.5,54,F#3,0.5,0,102,3.0,violoncello
406.5,407.0,60,C4,0.5,0,102,3.5,violoncello
407.0,407.5,62,D4,0.5,0,102,4.0,violoncello
407.5,408.0,60,C4,0.5,0,102,4.5,violoncello
408.0,408.5,55,G3,0.5,0,103,1.0,violoncello
408.5,409.0,59,B3,0.5,0,103,1.5,violoncello
409.0,409.5,62,D4,0.5,0,103,2.0,violoncello
409.5,410.0,59,B3,0.5,0,103,2.5,violoncello
410.0,410.5,55,G3,0.5,0,103,3.0,violoncello
410.5,411.0,59,B3,0.5,0,103,3.5,violoncello
411.0,411.5,62,D4,0.5,0,103,4.0,violoncello
411.5,412.0,59,B3,0.5,0,103,4.5,violoncello
412.0,412.5,54,F#3,0.5,0,104,1.0,violoncello
412.5,413.0,60,C4,0.5,0,104,1.5,violoncello
413.0,413.5,62,D4,0.5,0,104,2.0,violoncello
413.5,414.0,60,C4,0.5,0,104,2.5,violoncello
414.0,414.5,54,F#3,0.5,0,104,3.0,violoncello
414.5,415.0,60,C4,0.5,0,104,3.5,violoncello
415.0,415.5,62,D4,0.5,0,104,4.0,violoncello
415.5,416.0,60,C4,0.5,0,104,4.5,violoncello
416.0,416.5,55,G3,0.5,0,105,1.0,violoncello
416.5,417.0,59,B3,0.5,0,105,1.5,violoncello
417.0,417.5,62,D4,0.5,0,105,2.0,violoncello
417.5,418.0,59,B3,0.5,0,105,2.5,violoncello
418.0,418.5,55,G3,0.5,0,105,3.0,violoncello
418.5,419.0,59,B3,0.5,0,105,3.5,violoncello
419.0,419.5,62,D4,0.5,0,105,4.0,violoncello
419.5,420.0,59,B3,0.5,0,105,4.5,violoncello
420.0,420.5,54,F#3,0.5,0,106,1.0,violoncello
420.5,421.0,60,C4,0.5,0,106,1.5,violoncello
421.0,421.5,62,D4,0.5,0,106,2.0,violoncello
421.5,422.0,60,C4,0.5,0,106,2.5,violoncello
